date_key,full_date,day_number,day_name,week_number,month_number,month_name,quarter_number,calendar_year,is_weekend,load_timestamp_utc,batch_id,source_system
0,1900-01-01,1,Unknown,1,1,Unknown,1,1900,False,2026-08-15T12:00:00+00:00,SYSTEM,SYSTEM
20200101,2020-01-01,1,Wednesday,1,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200102,2020-01-02,2,Thursday,1,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200103,2020-01-03,3,Friday,1,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200104,2020-01-04,4,Saturday,1,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200105,2020-01-05,5,Sunday,1,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200106,2020-01-06,6,Monday,2,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200107,2020-01-07,7,Tuesday,2,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200108,2020-01-08,8,Wednesday,2,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200109,2020-01-09,9,Thursday,2,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200110,2020-01-10,10,Friday,2,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200111,2020-01-11,11,Saturday,2,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200112,2020-01-12,12,Sunday,2,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200113,2020-01-13,13,Monday,3,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200114,2020-01-14,14,Tuesday,3,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200115,2020-01-15,15,Wednesday,3,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200116,2020-01-16,16,Thursday,3,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200117,2020-01-17,17,Friday,3,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200118,2020-01-18,18,Saturday,3,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200119,2020-01-19,19,Sunday,3,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200120,2020-01-20,20,Monday,4,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200121,2020-01-21,21,Tuesday,4,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200122,2020-01-22,22,Wednesday,4,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200123,2020-01-23,23,Thursday,4,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200124,2020-01-24,24,Friday,4,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200125,2020-01-25,25,Saturday,4,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200126,2020-01-26,26,Sunday,4,1,January,1,2020,True,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200127,2020-01-27,27,Monday,5,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200128,2020-01-28,28,Tuesday,5,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200129,2020-01-29,29,Wednesday,5,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200130,2020-01-30,30,Thursday,5,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
20200131,2020-01-31,31,Friday,5,1,January,1,2020,False,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,GENERATED
