return_id,order_id,order_item_id,product_id,customer_id,return_date,return_quantity,return_reason,refund_amount,currency_code,source_file_date
RET-00000001,9000071,10000142,99999999,100013,04/22/2025,1,Late delivery,140.14,USD,2025-01-01
RET-00000002,9000175,10000353,100000000,100034,20-Mar-2026,1,Wrong size,29.73,USD,2025-01-01
RET-00000003,9000123,10000237,10026,100009,2024/06/29,1,Changed mind,15.04,USD,2026-08-15
RET-00000004,9000146,10000285,10005,100005,08/02/2025,1,Wrong size,90.21,USD,2026-08-15
RET-00000005,9000040,10000076,10005,100015,27-Dec-2025,1,Not as described,80.71,USD,2026-08-15
RET-00000006,9000005,10000008,10009,100018,2025/08/03,1,Wrong size,48.03,USD,2026-08-15
RET-00000007,9000032,10000062,10025,100023,2026-08-10,1,Not as described,26.61,USD,2026-08-15
RET-00000008,9000019,10000033,10020,100046,2026-06-05,1,Wrong size,31.49,USD,2026-08-15
RET-00000009,9000024,10000043,10030,100027,2025-05-03,1,Damaged,33.78,USD,2026-08-15
RET-00000010,9000080,10000156,10003,100014,2026-05-03,1,Damaged,48.85,USD,2026-08-15
RET-00000011,9000104,10000204,10022,100044,2025-06-15,1,Late delivery,121.91,USD,2026-08-15
RET-00000012,9000171,10000343,10023,100017,2025-05-19,1,Wrong size,30.63,USD,2026-08-15
RET-00000013,9000038,10000072,10011,100038,2026-07-04,1,Damaged,72.76,USD,2026-08-15
RET-00000014,9000074,10000149,10021,100013,2025-09-26,1,Changed mind,37.57,USD,2026-08-15
RET-00000015,9000081,10000158,10017,100055,2026-08-08,1,Wrong size,140.14,USD,2026-08-15
RET-00000016,9000096,10000185,10009,100017,2024-06-06,1,Damaged,56.51,USD,2026-08-15
RET-00000017,9000043,10000083,10013,100052,2025-11-22,1,Wrong size,71.61,USD,2026-08-15
RET-00000018,9000016,10000028,10021,100010,2026-07-14,1,Damaged,35.69,USD,2026-08-15
RET-00000019,9000014,10000024,10005,100019,2025-03-18,1,Wrong size,85.46,USD,2026-08-15
RET-00000020,9000037,10000071,10004,100048,2026-07-29,1,Changed mind,27.7,USD,2026-08-15
RET-00000021,9000021,10000037,10027,100048,2025-10-17,1,Wrong size,50.46,USD,2026-08-15
RET-00000022,9000174,10000349,10001,100008,2024-11-09,1,Damaged,37.63,USD,2026-08-15
RET-00000023,9000117,10000228,10012,100020,2024-10-13,1,Changed mind,18.25,USD,2026-08-15
RET-00000024,9000170,10000341,10019,100053,2026-05-12,1,Damaged,52.9,USD,2026-08-15
RET-00000025,9000188,10000380,10026,100009,2024-06-21,1,Wrong size,17.69,USD,2026-08-15
RET-00000026,9000051,10000106,10029,100003,2025-11-14,1,Changed mind,25.17,USD,2026-08-15
RET-00000027,9000167,10000335,10004,100050,2026-05-25,1,Damaged,27.7,USD,2026-08-15
RET-00000028,9000159,10000312,10014,100019,2025-12-11,1,Damaged,38.33,USD,2026-08-15
RET-00000029,9000130,10000251,10012,100030,2026-01-22,1,Late delivery,20.39,USD,2026-08-15
RET-00000030,9000179,10000358,10006,100044,2026-05-22,1,Not as described,30.74,USD,2026-08-15
RET-00000031,9000095,10000183,10016,100051,2026-03-17,1,Late delivery,49.63,USD,2026-08-15
RET-00000032,9000190,10000383,10015,100013,2026-07-24,1,Damaged,46.23,USD,2026-08-15
RET-00000033,9000082,10000160,10008,100044,2025-08-20,1,Changed mind,18.15,USD,2026-08-15
