supplier_cost_update_id,supplier_code,sku,effective_date,new_unit_cost,currency_code
SCU-00000001,SUP-05001,NRT-ELE-10013,2026-02-18,33.95,USD
SCU-00000002,SUP-05001,NRT-OUT-10017,2026-02-21,64.76,USD
SCU-00000003,SUP-05001,NRT-ELE-10002,2026-03-15,22.45,USD
SCU-00000004,SUP-05007,NRT-TRA-10008,2026-06-19,12.64,USD
SCU-00000005,SUP-05002,NRT-KIT-10016,2026-04-11,30.63,USD
SCU-00000006,SUP-05005,NRT-OUT-10007,2026-06-18,26.59,USD
SCU-00000007,SUP-05008,NRT-OUT-10001,2026-01-12,23.42,USD
SCU-00000008,SUP-05005,NRT-HOM-10030,2026-07-09,21.93,USD
SCU-00000009,SUP-05006,NRT-FIT-10010,2026-02-01,16.95,USD
SCU-00000010,SUP-05006,NRT-TRA-10004,2026-01-19,18.61,USD
SCU-00000011,SUP-05007,NRT-KIT-10019,2026-06-27,20.82,USD
SCU-00000012,SUP-05007,NRT-PET-10003,2026-06-03,36.16,USD
SCU-00000013,SUP-05001,NRT-OUT-10021,2026-05-24,21.72,USD
SCU-00000014,SUP-05001,NRT-PER-10022,2026-04-12,56.41,USD
SCU-00000015,SUP-05004,NRT-OUT-10012,2026-02-28,7.21,USD
SCU-00000016,SUP-05006,NRT-PET-10024,2026-03-20,37.45,USD
SCU-00000017,SUP-05005,NRT-KIT-10028,2026-03-25,13.67,USD
SCU-00000018,SUP-05007,NRT-ELE-10018,2026-01-23,28.59,USD
SCU-00000019,SUP-05001,NRT-FIT-10015,2026-05-28,35.33,USD
SCU-00000020,SUP-05007,NRT-FIT-10025,2026-02-20,14.74,USD
SCU-00000021,SUP-05007,NRT-FIT-10006,2026-06-12,17.99,USD
SCU-00000022,SUP-05001,NRT-PER-10020,2026-02-15,13.75,USD
SCU-00000023,SUP-05005,NRT-OUT-10009,2026-05-14,34.3,USD
SCU-00000024,SUP-05004,NRT-FIT-10023,2026-03-26,21.34,USD
SCU-00000025,SUP-05004,NRT-PER-10029,2026-06-25,17.38,USD
SCU-00000026,SUP-05006,NRT-TRA-10014,2026-03-25,17.3,USD
SCU-00000027,SUP-05005,NRT-FIT-10027,2026-03-24,29.11,USD
SCU-00000028,SUP-05003,NRT-PER-10011,2026-04-21,29.97,USD
SCU-00000029,SUP-05006,NRT-FIT-10026,2026-03-29,11.67,USD
SCU-00000030,SUP-05003,NRT-PET-10005,2026-02-19,40.12,USD
