source_system,file,rows
sqlserver,product_categories.csv,8
sqlserver,suppliers.csv,8
sqlserver,products.csv,30
sqlserver,stores.csv,5
sqlserver,employees.csv,20
sqlserver,customers.csv,60
sqlserver,addresses.csv,60
sqlserver,orders.csv,200
sqlserver,order_items.csv,399
sqlserver,payments.csv,200
sqlserver,shipments.csv,109
sqlserver,inventory_transactions.csv,179
sqlserver,inventory_snapshots.csv,50
postgres,web_users.csv,80
postgres,web_sessions.csv,300
postgres,web_events.csv,755
postgres,campaigns.csv,8
postgres,campaign_touchpoints.csv,142
postgres,marketing_spend.csv,398
files,returns.csv,33
files,supplier_cost_updates.csv,30
files,promotion_calendar.csv,3
files,shipment_tracking_events.jsonl,109
