touchpoint_id,web_user_id,session_id,campaign_id,touchpoint_timestamp,touchpoint_type,attribution_weight,created_at
3000001,700079,1000002,8008,2025-07-20T11:58:52+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000002,700069,1000004,8003,2025-01-18T13:50:55+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000003,700051,1000005,8005,2025-08-30T15:57:32+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000004,700005,1000007,8003,2025-03-31T15:32:48+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000005,700029,1000008,8004,2026-02-19T16:11:02+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000006,700006,1000009,8002,2026-04-02T13:59:14+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000007,700061,1000010,8006,2026-05-28T19:18:51+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000008,700014,1000011,8004,2025-03-09T09:51:12+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000009,700039,1000013,8004,2026-02-02T13:46:57+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000010,700044,1000017,8001,2026-01-16T09:54:01+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000011,700035,1000021,8005,2025-03-03T09:16:59+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000012,700021,1000024,8001,2025-06-08T11:12:07+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000013,700030,1000026,8003,2025-09-28T11:02:35+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000014,700055,1000029,8003,2025-06-24T01:16:27+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000015,700064,1000030,8005,2025-03-02T03:01:03+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000016,700024,1000033,8004,2026-07-30T19:32:40+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000017,700038,1000034,8004,2025-03-18T22:28:34+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000018,700016,1000036,8006,2025-08-03T05:30:34+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000019,700073,1000037,8004,2026-06-06T13:38:37+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000020,700063,1000038,8002,2025-08-03T23:53:55+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000021,700007,1000043,8002,2026-01-19T12:35:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000022,700026,1000045,8006,2025-06-23T03:33:48+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000023,700043,1000047,8002,2025-11-19T19:55:34+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000024,700026,1000048,8008,2025-08-11T21:18:43+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000025,700064,1000049,8003,2025-06-14T15:50:07+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000026,700070,1000051,8007,2025-11-15T06:29:49+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000027,700024,1000053,8007,2025-04-25T15:10:16+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000028,700043,1000054,8007,2025-08-04T12:06:27+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000029,700065,1000055,8003,2025-01-01T22:36:58+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000030,700017,1000057,8007,2026-06-13T21:57:44+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000031,700042,1000058,8008,2026-06-20T14:03:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000032,700002,1000061,8001,2025-08-10T06:28:15+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000033,700031,1000062,8003,2025-01-04T04:16:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000034,700047,1000066,8001,2026-04-18T02:23:25+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000035,700036,1000068,8005,2026-06-23T09:26:21+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000036,700079,1000069,8006,2025-05-24T14:32:26+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000037,700027,1000072,8008,2026-07-27T06:17:22+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000038,700031,1000073,8005,2025-10-24T05:56:05+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000039,700037,1000074,8006,2025-07-08T22:58:53+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000040,700015,1000075,8005,2026-07-10T03:00:36+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000041,700070,1000078,8007,2025-04-07T06:22:25+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000042,700078,1000081,8005,2025-11-02T04:09:36+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000043,700045,1000084,8007,2026-07-03T12:46:19+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000044,700001,1000085,8008,2025-11-04T23:17:44+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000045,700048,1000088,8008,2025-10-13T14:08:30+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000046,700062,1000091,8004,2025-05-23T01:05:36+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000047,700021,1000092,8004,2026-03-22T09:35:45+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000048,700012,1000096,8008,2025-12-08T11:03:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000049,700039,1000098,8003,2026-06-06T04:12:54+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000050,700042,1000099,8007,2026-05-30T16:17:49+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000051,700037,1000101,8005,2025-11-20T14:37:14+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000052,700070,1000103,8004,2025-06-25T07:14:30+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000053,700026,1000105,8003,2025-11-06T05:11:37+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000054,700030,1000108,8001,2025-10-05T23:05:58+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000055,700046,1000113,8002,2025-05-07T22:33:13+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000056,700072,1000114,8008,2025-07-02T22:10:07+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000057,700013,1000116,8006,2025-07-14T07:22:32+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000058,700049,1000120,8005,2026-01-26T21:01:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000059,700067,1000125,8006,2026-04-16T08:43:11+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000060,700045,1000127,8002,2025-04-15T20:14:04+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000061,700053,1000133,8008,2026-07-03T15:56:06+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000062,700003,1000135,8002,2025-01-06T08:07:49+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000063,700076,1000138,8006,2025-03-20T07:28:48+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000064,700011,1000140,8003,2025-10-17T04:07:45+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000065,700047,1000145,8003,2026-03-13T00:34:23+00:00,click,1.0,2026-08-15T12:00:00+00:00
