spend_id,spend_date,campaign_id,channel,spend_amount,impressions,clicks,currency_code,created_at
4000001,2025-10-02,8001,Email,678.34,25257,1259,USD,2026-08-15T12:00:00+00:00
4000002,2025-10-03,8001,Email,380.21,23296,1944,USD,2026-08-15T12:00:00+00:00
4000003,2025-10-04,8001,Email,89.67,37515,819,USD,2026-08-15T12:00:00+00:00
4000004,2025-10-05,8001,Email,373.15,32735,781,USD,2026-08-15T12:00:00+00:00
4000005,2025-10-06,8001,Email,834.41,39611,397,USD,2026-08-15T12:00:00+00:00
4000006,2025-10-07,8001,Email,512.07,33445,446,USD,2026-08-15T12:00:00+00:00
4000007,2025-10-08,8001,Email,61.82,26056,1208,USD,2026-08-15T12:00:00+00:00
4000008,2025-10-09,8001,Email,695.14,38483,95,USD,2026-08-15T12:00:00+00:00
4000009,2025-10-10,8001,Email,154.05,795,788,USD,2026-08-15T12:00:00+00:00
4000010,2025-10-11,8001,Email,436.05,4937,1925,USD,2026-08-15T12:00:00+00:00
4000011,2025-10-12,8001,Email,380.41,44541,249,USD,2026-08-15T12:00:00+00:00
4000012,2025-10-13,8001,Email,626.68,2886,1690,USD,2026-08-15T12:00:00+00:00
4000013,2025-10-14,8001,Email,582.33,20109,1976,USD,2026-08-15T12:00:00+00:00
4000014,2025-10-15,8001,Email,606.41,39373,1025,USD,2026-08-15T12:00:00+00:00
4000015,2025-10-16,8001,Email,764.96,21681,634,USD,2026-08-15T12:00:00+00:00
4000016,2025-10-17,8001,Email,633.31,46800,1606,USD,2026-08-15T12:00:00+00:00
4000017,2025-10-18,8001,Email,770.34,22479,512,USD,2026-08-15T12:00:00+00:00
4000018,2025-10-19,8001,Email,512.85,19241,933,USD,2026-08-15T12:00:00+00:00
4000019,2025-10-20,8001,Email,187.62,24168,1008,USD,2026-08-15T12:00:00+00:00
4000020,2025-10-21,8001,Email,514.13,5696,1985,USD,2026-08-15T12:00:00+00:00
4000021,2025-10-22,8001,Email,616.7,10093,314,USD,2026-08-15T12:00:00+00:00
4000022,2025-10-23,8001,Email,711.16,44681,1243,USD,2026-08-15T12:00:00+00:00
4000023,2025-10-24,8001,Email,669.3,8970,532,USD,2026-08-15T12:00:00+00:00
4000024,2025-10-25,8001,Email,928.8,49488,1005,USD,2026-08-15T12:00:00+00:00
4000025,2025-10-26,8001,Email,754.61,48537,295,USD,2026-08-15T12:00:00+00:00
4000026,2025-10-27,8001,Email,816.19,8535,1056,USD,2026-08-15T12:00:00+00:00
4000027,2025-10-28,8001,Email,101.62,36974,1448,USD,2026-08-15T12:00:00+00:00
4000028,2025-10-29,8001,Email,717.84,27769,1355,USD,2026-08-15T12:00:00+00:00
4000029,2025-10-30,8001,Email,48.09,18164,1396,USD,2026-08-15T12:00:00+00:00
4000030,2025-10-31,8001,Email,413.13,37525,400,USD,2026-08-15T12:00:00+00:00
4000031,2025-11-01,8001,Email,737.48,3670,224,USD,2026-08-15T12:00:00+00:00
4000032,2025-11-02,8001,Email,200.72,31543,1379,USD,2026-08-15T12:00:00+00:00
4000033,2025-11-03,8001,Email,362.71,47430,83,USD,2026-08-15T12:00:00+00:00
4000034,2025-11-04,8001,Email,795.33,48748,576,USD,2026-08-15T12:00:00+00:00
4000035,2025-11-05,8001,Email,883.35,44037,422,USD,2026-08-15T12:00:00+00:00
4000036,2025-11-06,8001,Email,107.94,36371,711,USD,2026-08-15T12:00:00+00:00
4000037,2025-11-07,8001,Email,591.72,37242,1914,USD,2026-08-15T12:00:00+00:00
4000038,2025-11-08,8001,Email,337.59,29402,124,USD,2026-08-15T12:00:00+00:00
4000039,2025-11-09,8001,Email,452.6,10370,976,USD,2026-08-15T12:00:00+00:00
4000040,2025-11-10,8001,Email,463.67,42691,1191,USD,2026-08-15T12:00:00+00:00
4000041,2025-11-11,8001,Email,249.07,20735,725,USD,2026-08-15T12:00:00+00:00
4000042,2025-11-12,8001,Email,758.87,7298,217,USD,2026-08-15T12:00:00+00:00
4000043,2025-11-13,8001,Email,177.47,30151,1474,USD,2026-08-15T12:00:00+00:00
4000044,2025-11-14,8001,Email,98.42,31943,999,USD,2026-08-15T12:00:00+00:00
4000045,2025-11-15,8001,Email,395.42,29259,952,USD,2026-08-15T12:00:00+00:00
4000046,2025-11-16,8001,Email,115.79,4738,219,USD,2026-08-15T12:00:00+00:00
4000047,2025-05-07,8002,Paid Search,678.82,3375,1727,USD,2026-08-15T12:00:00+00:00
4000048,2025-05-08,8002,Paid Search,66.8,8228,217,USD,2026-08-15T12:00:00+00:00
4000049,2025-05-09,8002,Paid Search,318.5,33645,133,USD,2026-08-15T12:00:00+00:00
4000050,2025-05-10,8002,Paid Search,350.54,24890,474,USD,2026-08-15T12:00:00+00:00
4000051,2025-05-11,8002,Paid Search,499.4,35143,560,USD,2026-08-15T12:00:00+00:00
4000052,2025-05-12,8002,Paid Search,26.71,586,1354,USD,2026-08-15T12:00:00+00:00
4000053,2025-05-13,8002,Paid Search,416.97,11410,529,USD,2026-08-15T12:00:00+00:00
4000054,2025-05-14,8002,Paid Search,145.01,36229,1573,USD,2026-08-15T12:00:00+00:00
