session_id,web_user_id,session_start_utc,session_end_utc,source_channel,campaign_id,device_type,country_code,converted_order_id,created_at
1000001,700047,2025-08-23T04:30:18-04:00,2025-08-23T08:30:48+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000002,700079,2025-07-20T07:58:52-04:00,2025-07-20T12:02:15+00:00,Affiliate,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000003,700038,2025-07-15T00:27:05-04:00,2025-07-15T04:27:28+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000004,700069,2025-01-18T08:50:55-05:00,2025-01-18T13:52:18+00:00,Paid Search,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000005,700051,2025-08-30T15:57:32+00:00,2025-08-30T15:57:49+00:00,Social,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000006,700059,2025-12-12T19:07:57+00:00,2025-12-12T19:10:34+00:00,Paid Search,,mobile,US,,2026-08-15T12:00:00+00:00
1000007,700005,2025-03-31T15:32:48+00:00,2025-03-31T15:34:30+00:00,Paid Search,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000008,700029,2026-02-19T16:11:02+00:00,2026-02-19T16:11:18+00:00,Social,8004.0,desktop,US,,2026-08-15T12:00:00+00:00
1000009,700006,2026-04-02T13:59:14+00:00,2026-04-02T14:03:39+00:00,Social,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000010,700061,2026-05-28T19:18:51+00:00,2026-05-28T19:19:31+00:00,Email,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000011,700014,2025-03-09T09:51:12+00:00,2025-03-09T09:51:37+00:00,Email,8004.0,desktop,US,,2026-08-15T12:00:00+00:00
1000012,700057,2025-09-01T19:52:52+00:00,2025-09-01T19:53:54+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000013,700039,2026-02-02T13:46:57+00:00,2026-02-02T13:48:00+00:00,Affiliate,8004.0,desktop,US,,2026-08-15T12:00:00+00:00
1000014,700032,2025-07-05T16:06:52+00:00,2025-07-05T16:07:57+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000015,700025,2025-08-29T09:16:11+00:00,2025-08-29T09:17:09+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000016,700073,2025-06-01T01:32:45+00:00,2025-06-01T01:35:49+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000017,700044,2026-01-16T09:54:01+00:00,2026-01-16T09:54:35+00:00,Email,8001.0,mobile,US,,2026-08-15T12:00:00+00:00
1000018,700006,2025-04-11T20:17:52+00:00,2025-04-11T20:22:44+00:00,Paid Search,,desktop,US,,2026-08-15T12:00:00+00:00
1000019,700069,2025-12-21T14:10:22+00:00,2025-12-21T14:10:52+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000020,700046,2025-09-09T15:21:22+00:00,2025-09-09T15:21:44+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000021,700035,2025-03-03T09:16:59+00:00,2025-03-03T09:17:54+00:00,Paid Search,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000022,700007,2026-03-21T08:23:24+00:00,2026-03-21T08:24:26+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000023,700003,2025-05-12T14:40:58+00:00,2025-05-12T14:42:36+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000024,700021,2025-06-08T11:12:07+00:00,2025-06-08T11:15:10+00:00,Paid Search,8001.0,desktop,US,,2026-08-15T12:00:00+00:00
1000025,700078,2026-02-13T12:48:48+00:00,2026-02-13T12:50:09+00:00,Paid Search,,mobile,US,,2026-08-15T12:00:00+00:00
1000026,700030,2025-09-28T11:02:35+00:00,2025-09-28T11:03:57+00:00,Paid Search,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000027,700016,2026-05-02T11:09:10+00:00,2026-05-02T11:12:26+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000028,700016,2026-06-07T09:29:18+00:00,2026-06-07T09:30:03+00:00,Social,,tablet,US,,2026-08-15T12:00:00+00:00
1000029,700055,2025-06-24T01:16:27+00:00,2025-06-24T01:18:40+00:00,Social,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000030,700064,2025-03-02T03:01:03+00:00,2025-03-02T03:02:01+00:00,Social,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000031,700012,2025-08-26T16:47:01+00:00,2025-08-26T16:48:35+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000032,700028,2025-07-16T08:24:27+00:00,2025-07-16T08:25:13+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000033,700024,2026-07-30T19:32:40+00:00,2026-07-30T19:34:25+00:00,Social,8004.0,mobile,US,,2026-08-15T12:00:00+00:00
1000034,700038,2025-03-18T22:28:34+00:00,2025-03-18T22:29:59+00:00,Affiliate,8004.0,desktop,US,,2026-08-15T12:00:00+00:00
1000035,700061,2026-01-15T22:10:01+00:00,2026-01-15T22:10:26+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000036,700016,2025-08-03T05:30:34+00:00,2025-08-03T05:30:58+00:00,Social,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000037,700073,2026-06-06T13:38:37+00:00,2026-06-06T13:39:09+00:00,Social,8004.0,mobile,US,,2026-08-15T12:00:00+00:00
1000038,700063,2025-08-03T23:53:55+00:00,2025-08-03T23:56:02+00:00,Paid Search,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000039,700072,2026-06-19T06:08:46+00:00,2026-06-19T06:11:32+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000040,700067,2025-10-01T11:09:11+00:00,2025-10-01T11:14:55+00:00,Affiliate,,mobile,US,,2026-08-15T12:00:00+00:00
1000041,700076,2025-03-11T02:17:53+00:00,2025-03-11T02:19:42+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000042,700044,2025-05-11T02:38:48+00:00,2025-05-11T02:40:19+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000043,700007,2026-01-19T12:35:24+00:00,2026-01-19T12:36:08+00:00,Email,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000044,700005,2025-06-22T02:11:08+00:00,2025-06-22T02:12:10+00:00,Direct,,tablet,US,,2026-08-15T12:00:00+00:00
1000045,700026,2025-06-23T03:33:48+00:00,2025-06-23T03:34:43+00:00,Paid Search,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000046,700005,2025-02-13T07:42:19+00:00,2025-02-13T07:44:01+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000047,700043,2025-11-19T19:55:34+00:00,2025-11-19T19:58:45+00:00,Email,8002.0,desktop,US,,2026-08-15T12:00:00+00:00
1000048,700026,2025-08-11T21:18:43+00:00,2025-08-11T21:21:25+00:00,Email,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000049,700064,2025-06-14T15:50:07+00:00,2025-06-14T15:51:53+00:00,Paid Search,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000050,700079,2025-07-14T15:05:27+00:00,2025-07-14T15:09:04+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000051,700070,2025-11-15T06:29:49+00:00,2025-11-15T06:32:46+00:00,Social,8007.0,tablet,US,,2026-08-15T12:00:00+00:00
1000052,700007,2026-02-27T10:07:11+00:00,2026-02-27T10:09:07+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000053,700024,2025-04-25T15:10:16+00:00,2025-04-25T15:11:27+00:00,Paid Search,8007.0,mobile,US,,2026-08-15T12:00:00+00:00
1000054,700043,2025-08-04T12:06:27+00:00,2025-08-04T12:07:28+00:00,Social,8007.0,desktop,US,,2026-08-15T12:00:00+00:00
1000055,700065,2025-01-01T22:36:58+00:00,2025-01-01T22:39:19+00:00,Affiliate,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000056,700062,2026-01-04T19:49:11+00:00,2026-01-04T19:49:41+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000057,700017,2026-06-13T21:57:44+00:00,2026-06-13T21:59:11+00:00,Email,8007.0,desktop,US,,2026-08-15T12:00:00+00:00
1000058,700042,2026-06-20T14:03:24+00:00,2026-06-20T14:03:49+00:00,Social,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
