inventory_snapshot_id,snapshot_date,store_id,product_id,quantity_on_hand,quantity_reserved,reorder_point,created_at
50000001,2026-07-31,201,10005,88,8,13,2026-08-15T12:00:00
50000002,2026-07-31,201,10018,123,1,9,2026-08-15T12:00:00
50000003,2026-07-31,201,10001,3,3,15,2026-08-15T12:00:00
50000004,2026-07-31,201,10020,83,6,20,2026-08-15T12:00:00
50000005,2026-07-31,201,10028,61,1,18,2026-08-15T12:00:00
50000006,2026-07-31,201,10010,88,8,16,2026-08-15T12:00:00
50000007,2026-07-31,201,10008,47,4,11,2026-08-15T12:00:00
50000008,2026-07-31,201,10012,15,5,13,2026-08-15T12:00:00
50000009,2026-07-31,201,10016,91,6,5,2026-08-15T12:00:00
50000010,2026-07-31,201,10011,107,8,18,2026-08-15T12:00:00
50000011,2026-07-31,202,10029,4,2,6,2026-08-15T12:00:00
50000012,2026-07-31,202,10007,2,2,6,2026-08-15T12:00:00
50000013,2026-07-31,202,10014,21,2,17,2026-08-15T12:00:00
50000014,2026-07-31,202,10003,48,4,10,2026-08-15T12:00:00
50000015,2026-07-31,202,10001,80,6,18,2026-08-15T12:00:00
50000016,2026-07-31,202,10009,71,5,5,2026-08-15T12:00:00
50000017,2026-07-31,202,10018,38,0,17,2026-08-15T12:00:00
50000018,2026-07-31,202,10025,78,6,6,2026-08-15T12:00:00
50000019,2026-07-31,202,10006,15,6,9,2026-08-15T12:00:00
50000020,2026-07-31,202,10026,80,8,12,2026-08-15T12:00:00
50000021,2026-07-31,203,10021,32,6,18,2026-08-15T12:00:00
50000022,2026-07-31,203,10023,41,4,11,2026-08-15T12:00:00
50000023,2026-07-31,203,10030,104,7,13,2026-08-15T12:00:00
50000024,2026-07-31,203,10024,91,7,10,2026-08-15T12:00:00
50000025,2026-07-31,203,10004,60,2,11,2026-08-15T12:00:00
50000026,2026-07-31,203,10020,123,0,10,2026-08-15T12:00:00
50000027,2026-07-31,203,10010,81,6,13,2026-08-15T12:00:00
50000028,2026-07-31,203,10011,44,3,10,2026-08-15T12:00:00
50000029,2026-07-31,203,10016,25,6,17,2026-08-15T12:00:00
50000030,2026-07-31,203,10019,10,4,11,2026-08-15T12:00:00
50000031,2026-07-31,204,10013,61,3,6,2026-08-15T12:00:00
50000032,2026-07-31,204,10024,5,4,19,2026-08-15T12:00:00
50000033,2026-07-31,204,10019,87,7,9,2026-08-15T12:00:00
50000034,2026-07-31,204,10015,32,2,19,2026-08-15T12:00:00
50000035,2026-07-31,204,10005,56,1,11,2026-08-15T12:00:00
50000036,2026-07-31,204,10029,0,0,9,2026-08-15T12:00:00
50000037,2026-07-31,204,10004,48,0,19,2026-08-15T12:00:00
50000038,2026-07-31,204,10014,94,1,11,2026-08-15T12:00:00
50000039,2026-07-31,204,10009,84,8,5,2026-08-15T12:00:00
50000040,2026-07-31,204,10002,9,1,10,2026-08-15T12:00:00
50000041,2026-07-31,205,10010,76,6,9,2026-08-15T12:00:00
50000042,2026-07-31,205,10013,87,7,8,2026-08-15T12:00:00
50000043,2026-07-31,205,10012,116,8,10,2026-08-15T12:00:00
50000044,2026-07-31,205,10007,56,6,17,2026-08-15T12:00:00
50000045,2026-07-31,205,10002,9,4,6,2026-08-15T12:00:00
50000046,2026-07-31,205,10023,65,1,8,2026-08-15T12:00:00
50000047,2026-07-31,205,10014,87,5,11,2026-08-15T12:00:00
50000048,2026-07-31,205,10003,43,3,19,2026-08-15T12:00:00
50000049,2026-07-31,205,10001,125,4,18,2026-08-15T12:00:00
50000050,2026-07-31,205,10026,59,8,10,2026-08-15T12:00:00
