inventory_transaction_id,store_id,product_id,transaction_timestamp,transaction_type,quantity_change,reference_type,reference_id,created_at
40000001,201,10005,2026-07-01T00:00:00,OPENING,75,SYNTHETIC,,2026-08-15T12:00:00
40000002,201,10005,2026-07-13T00:00:00,RECEIPT,28,SYNTHETIC,,2026-08-15T12:00:00
40000003,201,10005,2026-07-26T00:00:00,SALE,-13,SYNTHETIC,,2026-08-15T12:00:00
40000004,201,10005,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000009,201,10018,2026-07-01T00:00:00,OPENING,99,SYNTHETIC,,2026-08-15T12:00:00
40000010,201,10018,2026-07-13T00:00:00,RECEIPT,24,SYNTHETIC,,2026-08-15T12:00:00
40000013,201,10001,2026-07-01T00:00:00,OPENING,17,SYNTHETIC,,2026-08-15T12:00:00
40000014,201,10001,2026-07-13T00:00:00,RECEIPT,27,SYNTHETIC,,2026-08-15T12:00:00
40000015,201,10001,2026-07-26T00:00:00,SALE,-41,SYNTHETIC,,2026-08-15T12:00:00
40000019,201,10020,2026-07-01T00:00:00,OPENING,116,SYNTHETIC,,2026-08-15T12:00:00
40000020,201,10020,2026-07-13T00:00:00,RECEIPT,3,SYNTHETIC,,2026-08-15T12:00:00
40000021,201,10020,2026-07-26T00:00:00,SALE,-36,SYNTHETIC,,2026-08-15T12:00:00
40000025,201,10028,2026-07-01T00:00:00,OPENING,72,SYNTHETIC,,2026-08-15T12:00:00
40000026,201,10028,2026-07-13T00:00:00,RECEIPT,7,SYNTHETIC,,2026-08-15T12:00:00
40000027,201,10028,2026-07-26T00:00:00,SALE,-18,SYNTHETIC,,2026-08-15T12:00:00
40000031,201,10010,2026-07-01T00:00:00,OPENING,91,SYNTHETIC,,2026-08-15T12:00:00
40000032,201,10010,2026-07-13T00:00:00,RECEIPT,14,SYNTHETIC,,2026-08-15T12:00:00
40000033,201,10010,2026-07-26T00:00:00,SALE,-18,SYNTHETIC,,2026-08-15T12:00:00
40000034,201,10010,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000039,201,10008,2026-07-01T00:00:00,OPENING,46,SYNTHETIC,,2026-08-15T12:00:00
40000040,201,10008,2026-07-13T00:00:00,RECEIPT,27,SYNTHETIC,,2026-08-15T12:00:00
40000041,201,10008,2026-07-26T00:00:00,SALE,-25,SYNTHETIC,,2026-08-15T12:00:00
40000042,201,10008,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000047,201,10012,2026-07-01T00:00:00,OPENING,9,SYNTHETIC,,2026-08-15T12:00:00
40000048,201,10012,2026-07-13T00:00:00,RECEIPT,30,SYNTHETIC,,2026-08-15T12:00:00
40000049,201,10012,2026-07-26T00:00:00,SALE,-25,SYNTHETIC,,2026-08-15T12:00:00
