order_item_id,order_id,line_number,product_id,quantity,unit_price,unit_cost,discount_amount,tax_amount,created_at,updated_at
10000001,9000001,1,10026,-2,17.69,11.26,1.77,1.68,2026-06-25T14:48:00,2026-08-15T12:00:00
10000002,9000002,1,10018,0,55.34,28.8,0.0,2.77,2024-02-12T14:51:00,2026-08-15T12:00:00
10000003,9000003,1,10019,1,52.9,20.3,0.0,0.0,2026-01-30T11:56:00,2026-08-15T12:00:00
10000004,9000004,1,10005,1,94.96,36.23,4.75,0.0,2025-04-08T13:13:00,2026-08-15T12:00:00
10000005,9000005,1,10018,1,55.34,28.8,8.3,3.76,2025-07-21T17:23:00,2026-08-15T12:00:00
10000006,9000005,2,10012,1,21.47,7.82,2.15,0.97,2025-07-21T17:23:00,2026-08-15T12:00:00
10000007,9000005,3,10001,4,37.63,22.77,15.05,8.13,2025-07-21T17:23:00,2026-08-15T12:00:00
10000008,9000005,4,10009,1,56.51,35.78,8.48,2.88,2025-07-21T17:23:00,2026-08-15T12:00:00
10000009,9000005,5,10011,1,72.76,27.25,10.91,4.95,2025-07-21T17:23:00,2026-08-15T12:00:00
10000010,9000006,1,10011,3,72.76,27.25,0.0,13.1,2024-10-18T17:46:00,2026-08-15T12:00:00
10000011,9000006,2,10024,1,104.78,37.65,0.0,6.29,2024-10-18T17:46:00,2026-08-15T12:00:00
10000012,9000006,3,10025,1,31.3,15.29,0.0,1.88,2024-10-18T17:46:00,2026-08-15T12:00:00
10000013,9000007,1,10029,1,27.97,16.93,1.4,2.13,2025-11-08T16:09:00,2026-08-15T12:00:00
10000014,9000007,2,10007,1,75.41,28.66,7.54,5.43,2025-11-08T16:09:00,2026-08-15T12:00:00
10000015,9000008,1,10020,1,34.99,13.43,0.0,0.0,2026-05-20T12:10:00,2026-08-15T12:00:00
10000016,9000009,1,10021,2,37.57,20.21,7.51,3.38,2026-05-03T18:37:00,2026-08-15T12:00:00
10000017,9000010,1,10023,3,32.24,21.91,4.84,0.0,2025-09-17T11:36:00,2026-08-15T12:00:00
10000018,9000010,2,10003,2,54.28,33.16,5.43,6.19,2025-09-17T11:36:00,2026-08-15T12:00:00
10000019,9000011,1,10016,1,55.14,29.62,0.0,2.76,2026-02-26T21:19:00,2026-08-15T12:00:00
10000020,9000011,2,10028,1,19.79,12.54,0.0,0.99,2026-02-26T21:19:00,2026-08-15T12:00:00
10000021,9000011,3,10025,1,31.3,15.29,0.0,1.88,2026-02-26T21:19:00,2026-08-15T12:00:00
10000022,9000012,1,10010,1,31.14,16.68,1.56,0.0,2025-10-04T19:03:00,2026-08-15T12:00:00
10000023,9000013,1,10009,1,56.51,35.78,0.0,3.39,2025-07-11T14:48:00,2026-08-15T12:00:00
10000024,9000014,1,10005,1,94.96,36.23,9.5,5.13,2025-03-13T17:24:00,2026-08-15T12:00:00
10000025,9000014,2,10021,1,37.57,20.21,1.88,1.78,2025-03-13T17:24:00,2026-08-15T12:00:00
10000026,9000014,3,10020,2,34.99,13.43,10.5,4.76,2025-03-13T17:24:00,2026-08-15T12:00:00
10000027,9000015,1,10005,2,94.96,36.23,18.99,0.0,2024-03-08T18:56:00,2026-08-15T12:00:00
10000028,9000016,1,10021,1,37.57,20.21,1.88,2.14,2026-06-05T09:15:00,2026-08-15T12:00:00
10000029,9000016,2,10027,1,50.46,27.74,7.57,2.57,2026-06-05T09:15:00,2026-08-15T12:00:00
10000030,9000017,1,10005,1,94.96,36.23,0.0,4.75,2026-07-08T17:26:00,2026-08-15T12:00:00
10000031,9000018,1,10001,1,37.63,22.77,0.0,1.88,2026-05-09T10:10:00,2026-08-15T12:00:00
10000032,9000018,2,10008,2,18.15,12.81,0.0,1.81,2026-05-09T10:10:00,2026-08-15T12:00:00
10000033,9000019,1,10020,2,34.99,13.43,7.0,3.15,2026-05-02T18:05:00,2026-08-15T12:00:00
10000034,9000020,1,10011,1,72.76,27.25,7.28,0.0,2026-02-07T14:13:00,2026-08-15T12:00:00
10000035,9000020,2,10019,3,52.9,20.3,7.93,9.05,2026-02-07T14:13:00,2026-08-15T12:00:00
10000036,9000021,1,10007,3,75.41,28.66,0.0,13.57,2025-09-11T13:53:00,2026-08-15T12:00:00
10000037,9000021,2,10027,1,50.46,27.74,0.0,3.03,2025-09-11T13:53:00,2026-08-15T12:00:00
10000038,9000022,1,10026,1,17.69,11.26,0.0,0.0,2026-05-20T18:45:00,2026-08-15T12:00:00
10000039,9000022,2,10028,1,19.79,12.54,0.0,0.0,2026-05-20T18:45:00,2026-08-15T12:00:00
10000040,9000022,3,10007,4,75.41,28.66,0.0,24.13,2026-05-20T18:45:00,2026-08-15T12:00:00
10000041,9000023,1,10028,2,19.79,12.54,0.0,0.0,2024-06-13T18:14:00,2026-08-15T12:00:00
10000042,9000024,1,10029,2,27.97,16.93,0.0,0.0,2025-04-11T20:18:00,2026-08-15T12:00:00
10000043,9000024,2,10030,1,33.78,21.73,0.0,1.69,2025-04-11T20:18:00,2026-08-15T12:00:00
10000044,9000024,3,10006,1,36.17,18.38,0.0,2.89,2025-04-11T20:18:00,2026-08-15T12:00:00
10000045,9000025,1,10025,1,31.3,15.29,1.57,1.49,2024-02-04T21:27:00,2026-08-15T12:00:00
