order_id,order_number,customer_id,store_id,employee_id,channel_code,order_timestamp,order_status,promotion_code,currency_code,created_at,updated_at
9000001,ORD-009000001,100050,204,309.0,STORE,2026-06-25T14:48:00,COMPLETED,WELCOME10,USD,2026-06-25T14:48:00,2026-08-15T12:00:00
9000002,ORD-009000002,100007,202,,ONLINE,2024-02-12T14:51:00,COMPLETED,,USD,2024-02-12T14:51:00,2026-08-15T12:00:00
9000003,ORD-009000003,100052,204,319.0,STORE,2026-01-30T11:56:00,COMPLETED,,USD,2026-01-30T11:56:00,2026-08-15T12:00:00
9000004,ORD-009000004,100012,202,,ONLINE,2025-04-08T13:13:00,CANCELLED,WELCOME10,USD,2025-04-08T13:13:00,2026-08-15T12:00:00
9000005,ORD-009000005,100018,204,304.0,STORE,2025-07-21T17:23:00,COMPLETED,WEEKEND15,USD,2025-07-21T17:23:00,2026-08-15T12:00:00
9000006,ORD-009000006,100032,201,,ONLINE,2024-10-18T17:46:00,COMPLETED,,USD,2024-10-18T17:46:00,2026-08-15T12:00:00
9000007,ORD-009000007,100017,203,,ONLINE,2025-11-08T16:09:00,COMPLETED,WEEKEND15,USD,2025-11-08T16:09:00,2026-08-15T12:00:00
9000008,ORD-009000008,100003,201,306.0,STORE,2026-05-20T12:10:00,COMPLETED,,USD,2026-05-20T12:10:00,2026-08-15T12:00:00
9000009,ORD-009000009,100039,204,309.0,STORE,2026-05-03T18:37:00,COMPLETED,WEEKEND15,USD,2026-05-03T18:37:00,2026-08-15T12:00:00
9000010,ORD-009000010,100043,205,305.0,STORE,2025-09-17T11:36:00,SHIPPED,FREESHIP,USD,2025-09-17T11:36:00,2026-08-15T12:00:00
9000011,ORD-009000011,100012,201,,ONLINE,2026-02-26T21:19:00,COMPLETED,,USD,2026-02-26T21:19:00,2026-08-15T12:00:00
9000012,ORD-009000012,100018,204,314.0,STORE,2025-10-04T19:03:00,COMPLETED,WELCOME10,USD,2025-10-04T19:03:00,2026-08-15T12:00:00
9000013,ORD-009000013,100005,203,,ONLINE,2025-07-11T14:48:00,COMPLETED,,USD,2025-07-11T14:48:00,2026-08-15T12:00:00
9000014,ORD-009000014,100019,202,,ONLINE,2025-03-13T17:24:00,COMPLETED,WELCOME10,USD,2025-03-13T17:24:00,2026-08-15T12:00:00
9000015,ORD-009000015,100030,204,319.0,STORE,2024-03-08T18:56:00,COMPLETED,WEEKEND15,USD,2024-03-08T18:56:00,2026-08-15T12:00:00
9000016,ORD-009000016,100010,205,,ONLINE,2026-06-05T09:15:00,SHIPPED,WEEKEND15,USD,2026-06-05T09:15:00,2026-08-15T12:00:00
9000017,ORD-009000017,100023,205,320.0,STORE,2026-07-08T17:26:00,COMPLETED,,USD,2026-07-08T17:26:00,2026-08-15T12:00:00
9000018,ORD-009000018,100005,201,311.0,STORE,2026-05-09T10:10:00,COMPLETED,,USD,2026-05-09T10:10:00,2026-08-15T12:00:00
9000019,ORD-009000019,100046,202,,ONLINE,2026-05-02T18:05:00,COMPLETED,FREESHIP,USD,2026-05-02T18:05:00,2026-08-15T12:00:00
9000020,ORD-009000020,100060,202,302.0,STORE,2026-02-07T14:13:00,SHIPPED,FREESHIP,USD,2026-02-07T14:13:00,2026-08-15T12:00:00
9000021,ORD-009000021,100048,205,,ONLINE,2025-09-11T13:53:00,COMPLETED,,USD,2025-09-11T13:53:00,2026-08-15T12:00:00
9000022,ORD-009000022,100002,202,317.0,STORE,2026-05-20T18:45:00,COMPLETED,,USD,2026-05-20T18:45:00,2026-08-15T12:00:00
9000023,ORD-009000023,100007,201,316.0,STORE,2024-06-13T18:14:00,SHIPPED,,USD,2024-06-13T18:14:00,2026-08-15T12:00:00
9000024,ORD-009000024,100027,201,,ONLINE,2025-04-11T20:18:00,SHIPPED,,USD,2025-04-11T20:18:00,2026-08-15T12:00:00
9000025,ORD-009000025,100007,204,,ONLINE,2024-02-04T21:27:00,COMPLETED,FREESHIP,USD,2024-02-04T21:27:00,2026-08-15T12:00:00
9000026,ORD-009000026,100056,205,,ONLINE,2025-07-21T19:43:00,COMPLETED,,USD,2025-07-21T19:43:00,2026-08-15T12:00:00
9000027,ORD-009000027,100041,205,310.0,STORE,2024-02-04T13:22:00,COMPLETED,WELCOME10,USD,2024-02-04T13:22:00,2026-08-15T12:00:00
9000028,ORD-009000028,100054,202,,ONLINE,2026-07-14T14:07:00,COMPLETED,,USD,2026-07-14T14:07:00,2026-08-15T12:00:00
9000029,ORD-009000029,100002,204,304.0,STORE,2026-04-02T18:50:00,SHIPPED,FREESHIP,USD,2026-04-02T18:50:00,2026-08-15T12:00:00
9000030,ORD-009000030,100057,203,,ONLINE,2025-08-02T18:09:00,COMPLETED,WELCOME10,USD,2025-08-02T18:09:00,2026-08-15T12:00:00
9000031,ORD-009000031,100008,202,317.0,STORE,2024-04-20T17:55:00,COMPLETED,,USD,2024-04-20T17:55:00,2026-08-15T12:00:00
9000032,ORD-009000032,100023,201,,ONLINE,2026-07-22T18:43:00,COMPLETED,WELCOME10,USD,2026-07-22T18:43:00,2026-08-15T12:00:00
9000033,ORD-009000033,100003,203,,ONLINE,2026-02-28T15:11:00,CANCELLED,WEEKEND15,USD,2026-02-28T15:11:00,2026-08-15T12:00:00
9000034,ORD-009000034,100027,204,,ONLINE,2024-09-21T10:15:00,COMPLETED,FREESHIP,USD,2024-09-21T10:15:00,2026-08-15T12:00:00
9000035,ORD-009000035,100053,202,,ONLINE,2025-09-05T18:01:00,COMPLETED,,USD,2025-09-05T18:01:00,2026-08-15T12:00:00
9000036,ORD-009000036,100057,204,319.0,STORE,2025-01-25T15:59:00,COMPLETED,WEEKEND15,USD,2025-01-25T15:59:00,2026-08-15T12:00:00
9000037,ORD-009000037,100048,203,308.0,STORE,2026-07-18T14:34:00,COMPLETED,FREESHIP,USD,2026-07-18T14:34:00,2026-08-15T12:00:00
9000038,ORD-009000038,100038,201,306.0,STORE,2026-05-27T08:19:00,SHIPPED,,USD,2026-05-27T08:19:00,2026-08-15T12:00:00
9000039,ORD-009000039,100045,205,315.0,STORE,2026-05-30T22:20:00,COMPLETED,FREESHIP,USD,2026-05-30T22:20:00,2026-08-15T12:00:00
9000040,ORD-009000040,100015,201,,ONLINE,2025-11-16T17:07:00,COMPLETED,WEEKEND15,USD,2025-11-16T17:07:00,2026-08-15T12:00:00
9000041,ORD-009000041,100039,203,,ONLINE,2026-06-06T17:24:00,SHIPPED,,USD,2026-06-06T17:24:00,2026-08-15T12:00:00
9000042,ORD-009000042,100040,203,318.0,STORE,2026-02-11T15:56:00,COMPLETED,FREESHIP,USD,2026-02-11T15:56:00,2026-08-15T12:00:00
9000043,ORD-009000043,100052,201,,ONLINE,2025-10-14T17:45:00,COMPLETED,WELCOME10,USD,2025-10-14T17:45:00,2026-08-15T12:00:00
9000044,ORD-009000044,100032,204,319.0,STORE,2025-04-09T20:12:00,COMPLETED,FREESHIP,USD,2025-04-09T20:12:00,2026-08-15T12:00:00
9000045,ORD-009000045,100001,204,,ONLINE,2025-11-08T17:58:00,SHIPPED,,USD,2025-11-08T17:58:00,2026-08-15T12:00:00
9000046,ORD-009000046,100053,203,313.0,STORE,2025-12-26T16:39:00,COMPLETED,,USD,2025-12-26T16:39:00,2026-08-15T12:00:00
9000047,ORD-009000047,100056,203,,ONLINE,2026-04-15T15:28:00,COMPLETED,,USD,2026-04-15T15:28:00,2026-08-15T12:00:00
9000048,ORD-009000048,100001,204,309.0,STORE,2026-07-03T21:54:00,COMPLETED,WEEKEND15,USD,2026-07-03T21:54:00,2026-08-15T12:00:00
9000049,ORD-009000049,100049,204,304.0,STORE,2026-06-26T16:37:00,COMPLETED,,USD,2026-06-26T16:37:00,2026-08-15T12:00:00
9000050,ORD-009000050,100033,205,,ONLINE,2026-01-24T14:19:00,SHIPPED,WELCOME10,USD,2026-01-24T14:19:00,2026-08-15T12:00:00
9000051,ORD-009000051,100003,205,,ONLINE,2025-10-14T15:10:00,COMPLETED,WELCOME10,USD,2025-10-14T15:10:00,2026-08-15T12:00:00
9000052,ORD-009000052,100045,202,,ONLINE,2025-09-20T19:29:00,COMPLETED,FREESHIP,USD,2025-09-20T19:29:00,2026-08-15T12:00:00
9000053,ORD-009000053,100020,204,314.0,STORE,2024-11-03T17:31:00,COMPLETED,,USD,2024-11-03T17:31:00,2026-08-15T12:00:00
9000054,ORD-009000054,100039,205,305.0,STORE,2026-07-09T18:30:00,SHIPPED,WEEKEND15,USD,2026-07-09T18:30:00,2026-08-15T12:00:00
9000055,ORD-009000055,100012,205,,ONLINE,2025-03-14T13:22:00,SHIPPED,FREESHIP,USD,2025-03-14T13:22:00,2026-08-15T12:00:00
9000056,ORD-009000056,100003,202,312.0,STORE,2025-12-12T12:57:00,COMPLETED,WEEKEND15,USD,2025-12-12T12:57:00,2026-08-15T12:00:00
9000057,ORD-009000057,100018,204,,ONLINE,2024-10-17T16:50:00,COMPLETED,WEEKEND15,USD,2024-10-17T16:50:00,2026-08-15T12:00:00
9000058,ORD-009000058,100027,201,,ONLINE,2025-09-27T18:06:00,COMPLETED,,USD,2025-09-27T18:06:00,2026-08-15T12:00:00
9000059,ORD-009000059,100027,201,301.0,STORE,2024-05-28T15:22:00,COMPLETED,WEEKEND15,USD,2024-05-28T15:22:00,2026-08-15T12:00:00
9000060,ORD-009000060,100020,202,,ONLINE,2024-07-22T14:52:00,SHIPPED,,USD,2024-07-22T14:52:00,2026-08-15T12:00:00
9000061,ORD-009000061,100002,203,,ONLINE,2026-03-05T12:55:00,COMPLETED,,USD,2026-03-05T12:55:00,2026-08-15T12:00:00
9000062,ORD-009000062,100051,204,,ONLINE,2026-07-07T15:08:00,CANCELLED,WEEKEND15,USD,2026-07-07T15:08:00,2026-08-15T12:00:00
9000063,ORD-009000063,100054,205,,ONLINE,2025-04-06T16:19:00,SHIPPED,,USD,2025-04-06T16:19:00,2026-08-15T12:00:00
9000064,ORD-009000064,100054,202,307.0,STORE,2026-05-17T18:45:00,CANCELLED,,USD,2026-05-17T18:45:00,2026-08-15T12:00:00
9000065,ORD-009000065,100044,204,,ONLINE,2025-04-17T14:29:00,SHIPPED,WELCOME10,USD,2025-04-17T14:29:00,2026-08-15T12:00:00
9000066,ORD-009000066,100008,204,,ONLINE,2025-08-14T21:41:00,COMPLETED,,USD,2025-08-14T21:41:00,2026-08-15T12:00:00
9000067,ORD-009000067,100034,202,312.0,STORE,2026-06-24T16:18:00,COMPLETED,WEEKEND15,USD,2026-06-24T16:18:00,2026-08-15T12:00:00
9000068,ORD-009000068,100032,202,302.0,STORE,2024-12-30T19:55:00,COMPLETED,,USD,2024-12-30T19:55:00,2026-08-15T12:00:00
9000069,ORD-009000069,100002,201,,ONLINE,2025-05-29T21:35:00,COMPLETED,,USD,2025-05-29T21:35:00,2026-08-15T12:00:00
9000070,ORD-009000070,100002,203,,ONLINE,2026-01-18T16:22:00,SHIPPED,,USD,2026-01-18T16:22:00,2026-08-15T12:00:00
9000071,ORD-009000071,100013,202,,ONLINE,2025-04-20T10:03:00,COMPLETED,,USD,2025-04-20T10:03:00,2026-08-15T12:00:00
9000072,ORD-009000072,100057,205,320.0,STORE,2026-02-18T11:43:00,COMPLETED,WEEKEND15,USD,2026-02-18T11:43:00,2026-08-15T12:00:00
9000073,ORD-009000073,100058,203,,ONLINE,2026-02-09T19:43:00,SHIPPED,,USD,2026-02-09T19:43:00,2026-08-15T12:00:00
9000074,ORD-009000074,100013,201,,ONLINE,2025-09-07T17:49:00,COMPLETED,,USD,2025-09-07T17:49:00,2026-08-15T12:00:00
9000075,ORD-009000075,100004,203,,ONLINE,2026-07-26T09:06:00,COMPLETED,WELCOME10,USD,2026-07-26T09:06:00,2026-08-15T12:00:00
9000076,ORD-009000076,100010,201,,ONLINE,2025-07-14T12:33:00,COMPLETED,WEEKEND15,USD,2025-07-14T12:33:00,2026-08-15T12:00:00
9000077,ORD-009000077,100031,205,320.0,STORE,2025-12-21T18:44:00,COMPLETED,FREESHIP,USD,2025-12-21T18:44:00,2026-08-15T12:00:00
9000078,ORD-009000078,100017,203,,ONLINE,2025-07-01T12:28:00,COMPLETED,,USD,2025-07-01T12:28:00,2026-08-15T12:00:00
9000079,ORD-009000079,100056,201,,ONLINE,2024-12-22T18:13:00,SHIPPED,FREESHIP,USD,2024-12-22T18:13:00,2026-08-15T12:00:00
9000080,ORD-009000080,100014,204,309.0,STORE,2026-04-23T14:34:00,COMPLETED,WEEKEND15,USD,2026-04-23T14:34:00,2026-08-15T12:00:00
9000081,ORD-009000081,100055,202,317.0,STORE,2026-07-31T11:07:00,SHIPPED,,USD,2026-07-31T11:07:00,2026-08-15T12:00:00
9000082,ORD-009000082,100044,205,315.0,STORE,2025-07-26T12:49:00,COMPLETED,,USD,2025-07-26T12:49:00,2026-08-15T12:00:00
9000083,ORD-009000083,100059,201,,ONLINE,2026-05-26T10:47:00,SHIPPED,,USD,2026-05-26T10:47:00,2026-08-15T12:00:00
9000084,ORD-009000084,100052,202,,ONLINE,2026-06-06T13:44:00,COMPLETED,,USD,2026-06-06T13:44:00,2026-08-15T12:00:00
9000085,ORD-009000085,100030,204,,ONLINE,2024-06-22T12:09:00,SHIPPED,FREESHIP,USD,2024-06-22T12:09:00,2026-08-15T12:00:00
9000086,ORD-009000086,100042,202,,ONLINE,2025-06-17T12:44:00,SHIPPED,WEEKEND15,USD,2025-06-17T12:44:00,2026-08-15T12:00:00
9000087,ORD-009000087,100057,201,,ONLINE,2025-05-13T11:56:00,COMPLETED,,USD,2025-05-13T11:56:00,2026-08-15T12:00:00
9000088,ORD-009000088,100004,202,,ONLINE,2026-07-03T12:03:00,COMPLETED,,USD,2026-07-03T12:03:00,2026-08-15T12:00:00
9000089,ORD-009000089,100022,203,,ONLINE,2026-01-22T15:28:00,CANCELLED,,USD,2026-01-22T15:28:00,2026-08-15T12:00:00
9000090,ORD-009000090,100041,204,304.0,STORE,2024-11-23T16:20:00,COMPLETED,,USD,2024-11-23T16:20:00,2026-08-15T12:00:00
9000091,ORD-009000091,100053,203,,ONLINE,2026-04-18T11:44:00,COMPLETED,WELCOME10,USD,2026-04-18T11:44:00,2026-08-15T12:00:00
9000092,ORD-009000092,100015,204,309.0,STORE,2025-08-12T20:11:00,COMPLETED,WEEKEND15,USD,2025-08-12T20:11:00,2026-08-15T12:00:00
9000093,ORD-009000093,100006,204,,ONLINE,2025-08-01T13:13:00,SHIPPED,,USD,2025-08-01T13:13:00,2026-08-15T12:00:00
9000094,ORD-009000094,100006,202,312.0,STORE,2026-04-17T13:40:00,COMPLETED,WELCOME10,USD,2026-04-17T13:40:00,2026-08-15T12:00:00
9000095,ORD-009000095,100051,201,301.0,STORE,2026-02-07T09:40:00,COMPLETED,WEEKEND15,USD,2026-02-07T09:40:00,2026-08-15T12:00:00
9000096,ORD-009000096,100017,201,306.0,STORE,2024-05-04T16:35:00,COMPLETED,,USD,2024-05-04T16:35:00,2026-08-15T12:00:00
9000097,ORD-009000097,100040,204,,ONLINE,2024-07-22T15:21:00,COMPLETED,WEEKEND15,USD,2024-07-22T15:21:00,2026-08-15T12:00:00
9000098,ORD-009000098,100060,203,,ONLINE,2026-01-05T12:00:00,COMPLETED,WEEKEND15,USD,2026-01-05T12:00:00,2026-08-15T12:00:00
9000099,ORD-009000099,100059,202,,ONLINE,2026-06-20T15:32:00,COMPLETED,WEEKEND15,USD,2026-06-20T15:32:00,2026-08-15T12:00:00
9000100,ORD-009000100,100037,201,,ONLINE,2024-09-28T13:31:00,COMPLETED,,USD,2024-09-28T13:31:00,2026-08-15T12:00:00
9000101,ORD-009000101,100052,204,314.0,STORE,2026-05-04T11:26:00,CANCELLED,,USD,2026-05-04T11:26:00,2026-08-15T12:00:00
9000102,ORD-009000102,100021,201,,ONLINE,2025-03-17T15:28:00,SHIPPED,FREESHIP,USD,2025-03-17T15:28:00,2026-08-15T12:00:00
9000103,ORD-009000103,100005,202,,ONLINE,2026-02-01T16:10:00,COMPLETED,,USD,2026-02-01T16:10:00,2026-08-15T12:00:00
9000104,ORD-009000104,100044,203,,ONLINE,2025-06-12T09:22:00,SHIPPED,WELCOME10,USD,2025-06-12T09:22:00,2026-08-15T12:00:00
9000105,ORD-009000105,100029,205,,ONLINE,2025-10-20T12:34:00,COMPLETED,WELCOME10,USD,2025-10-20T12:34:00,2026-08-15T12:00:00
9000106,ORD-009000106,100045,203,313.0,STORE,2025-04-02T11:57:00,COMPLETED,WEEKEND15,USD,2025-04-02T11:57:00,2026-08-15T12:00:00
9000107,ORD-009000107,100013,203,,ONLINE,2025-10-07T19:08:00,SHIPPED,,USD,2025-10-07T19:08:00,2026-08-15T12:00:00
9000108,ORD-009000108,100011,201,,ONLINE,2026-07-11T16:42:00,SHIPPED,,USD,2026-07-11T16:42:00,2026-08-15T12:00:00
9000109,ORD-009000109,100004,205,,ONLINE,2026-07-07T14:01:00,COMPLETED,,USD,2026-07-07T14:01:00,2026-08-15T12:00:00
9000110,ORD-009000110,100054,201,311.0,STORE,2025-01-04T16:29:00,COMPLETED,,USD,2025-01-04T16:29:00,2026-08-15T12:00:00
9000111,ORD-009000111,100026,202,,ONLINE,2026-06-22T10:28:00,COMPLETED,WELCOME10,USD,2026-06-22T10:28:00,2026-08-15T12:00:00
9000112,ORD-009000112,100036,203,313.0,STORE,2024-03-30T18:32:00,COMPLETED,WELCOME10,USD,2024-03-30T18:32:00,2026-08-15T12:00:00
9000113,ORD-009000113,100005,202,,ONLINE,2026-02-19T18:02:00,SHIPPED,,USD,2026-02-19T18:02:00,2026-08-15T12:00:00
9000114,ORD-009000114,100060,201,,ONLINE,2025-09-29T16:36:00,SHIPPED,,USD,2025-09-29T16:36:00,2026-08-15T12:00:00
9000115,ORD-009000115,100021,202,,ONLINE,2025-10-18T08:23:00,COMPLETED,,USD,2025-10-18T08:23:00,2026-08-15T12:00:00
9000116,ORD-009000116,100031,202,302.0,STORE,2026-07-24T14:28:00,COMPLETED,FREESHIP,USD,2026-07-24T14:28:00,2026-08-15T12:00:00
9000117,ORD-009000117,100020,201,306.0,STORE,2024-09-08T13:06:00,CANCELLED,WEEKEND15,USD,2024-09-08T13:06:00,2026-08-15T12:00:00
9000118,ORD-009000118,100037,202,317.0,STORE,2025-07-14T14:02:00,COMPLETED,WEEKEND15,USD,2025-07-14T14:02:00,2026-08-15T12:00:00
9000119,ORD-009000119,100045,201,311.0,STORE,2025-10-09T14:35:00,COMPLETED,,USD,2025-10-09T14:35:00,2026-08-15T12:00:00
9000120,ORD-009000120,100047,202,,ONLINE,2026-06-21T16:36:00,SHIPPED,FREESHIP,USD,2026-06-21T16:36:00,2026-08-15T12:00:00
9000121,ORD-009000121,100011,203,318.0,STORE,2026-05-28T18:47:00,COMPLETED,,USD,2026-05-28T18:47:00,2026-08-15T12:00:00
9000122,ORD-009000122,100022,204,,ONLINE,2026-07-30T18:12:00,SHIPPED,FREESHIP,USD,2026-07-30T18:12:00,2026-08-15T12:00:00
9000123,ORD-009000123,100009,205,,ONLINE,2024-05-31T15:13:00,COMPLETED,FREESHIP,USD,2024-05-31T15:13:00,2026-08-15T12:00:00
9000124,ORD-009000124,100008,202,312.0,STORE,2024-01-04T17:11:00,COMPLETED,WELCOME10,USD,2024-01-04T17:11:00,2026-08-15T12:00:00
9000125,ORD-009000125,100014,202,317.0,STORE,2026-05-11T11:04:00,SHIPPED,,USD,2026-05-11T11:04:00,2026-08-15T12:00:00
9000126,ORD-009000126,100024,201,,ONLINE,2025-12-22T15:32:00,COMPLETED,WEEKEND15,USD,2025-12-22T15:32:00,2026-08-15T12:00:00
9000127,ORD-009000127,100013,205,305.0,STORE,2026-02-26T18:43:00,COMPLETED,FREESHIP,USD,2026-02-26T18:43:00,2026-08-15T12:00:00
9000128,ORD-009000128,100049,203,,ONLINE,2026-07-22T12:47:00,COMPLETED,WELCOME10,USD,2026-07-22T12:47:00,2026-08-15T12:00:00
9000129,ORD-009000129,100046,204,,ONLINE,2026-04-12T16:50:00,COMPLETED,,USD,2026-04-12T16:50:00,2026-08-15T12:00:00
9000130,ORD-009000130,100030,201,,ONLINE,2025-12-31T12:50:00,COMPLETED,FREESHIP,USD,2025-12-31T12:50:00,2026-08-15T12:00:00
9000131,ORD-009000131,100018,203,,ONLINE,2025-04-17T14:51:00,COMPLETED,,USD,2025-04-17T14:51:00,2026-08-15T12:00:00
9000132,ORD-009000132,100022,205,315.0,STORE,2025-09-04T11:31:00,COMPLETED,,USD,2025-09-04T11:31:00,2026-08-15T12:00:00
