payment_id,order_id,payment_timestamp,payment_method,payment_status,amount,currency_code,transaction_reference,created_at,updated_at
20000001,9000001,2026-06-25T14:54:00,CARD,CAPTURED,35.29,usd,PAY-5E01CF81A39CE7B9,2026-06-25T14:48:00,2026-08-15T12:00:00
20000002,9000002,2024-02-12T14:59:00,DIGITAL_WALLET,CAPTURED,66.1,EUR,PAY-018181642B593195,2024-02-12T14:51:00,2026-08-15T12:00:00
20000003,9000003,2026-01-30T12:04:00,CARD,CAPTURED,52.9,USD,PAY-F1E79B7AD251997A,2026-01-30T11:56:00,2026-08-15T12:00:00
20000004,9000004,2025-04-08T13:18:00,GIFT_CARD,REFUNDED,90.21,USD,PAY-42139E97BCBE0B63,2025-04-08T13:13:00,2026-08-15T12:00:00
20000005,9000005,2025-07-21T17:32:00,DIGITAL_WALLET,CAPTURED,332.4,USD,PAY-3060359BC2E63AAA,2025-07-21T17:23:00,2026-08-15T12:00:00
20000006,9000006,2024-10-18T17:50:00,CARD,CAPTURED,375.63,USD,PAY-1656C8660A2A852C,2024-10-18T17:46:00,2026-08-15T12:00:00
20000007,9000007,2025-11-08T16:11:00,CARD,CAPTURED,102.0,USD,PAY-2782973B5FB35FDF,2025-11-08T16:09:00,2026-08-15T12:00:00
20000008,9000008,2026-05-20T12:17:00,CARD,CAPTURED,34.99,USD,PAY-2C9EC21EFF5F518F,2026-05-20T12:10:00,2026-08-15T12:00:00
20000009,9000009,2026-05-03T18:42:00,CARD,CAPTURED,71.01,USD,PAY-EEE1A3287B8C7979,2026-05-03T18:37:00,2026-08-15T12:00:00
20000010,9000010,2025-09-17T11:43:00,CARD,CAPTURED,201.2,USD,PAY-086875D55328AC6A,2025-09-17T11:36:00,2026-08-15T12:00:00
20000011,9000011,2026-02-26T21:23:00,CARD,CAPTURED,111.86,USD,PAY-9A5F5FF34C6710C9,2026-02-26T21:19:00,2026-08-15T12:00:00
20000012,9000012,2025-10-04T19:08:00,CARD,CAPTURED,29.58,USD,PAY-2FFC7BC0D1599AB5,2025-10-04T19:03:00,2026-08-15T12:00:00
20000013,9000013,2025-07-11T14:56:00,CARD,CAPTURED,67.89,USD,PAY-E527F9BBB60A9FA5,2025-07-11T14:48:00,2026-08-15T12:00:00
20000014,9000014,2025-03-13T17:26:00,GIFT_CARD,CAPTURED,192.3,USD,PAY-2F73040AD65D58DE,2025-03-13T17:24:00,2026-08-15T12:00:00
20000015,9000015,2024-03-08T18:57:00,CARD,CAPTURED,170.93,USD,PAY-238DCAC9DDBBE1A1,2024-03-08T18:56:00,2026-08-15T12:00:00
20000016,9000016,2026-06-05T09:19:00,CARD,CAPTURED,83.29,USD,PAY-A41D505609DD5336,2026-06-05T09:15:00,2026-08-15T12:00:00
20000017,9000017,2026-07-08T17:33:00,CARD,CAPTURED,99.71,USD,PAY-B5EC0F830141B3AD,2026-07-08T17:26:00,2026-08-15T12:00:00
20000018,9000018,2026-05-09T10:14:00,CARD,CAPTURED,77.62,USD,PAY-6A7A789C8F5DA882,2026-05-09T10:10:00,2026-08-15T12:00:00
