shipment_id,order_id,carrier,tracking_number,ship_date,promised_delivery_date,actual_delivery_date,shipment_status,shipping_cost,created_at,updated_at
30000001,9000002,National Ground,NST9000002665,2024-02-12,2024-02-16,2024-02-13,DELIVERED,7.99,2024-02-12T00:00:00,2026-08-15T12:00:00
30000002,9000006,ParcelOne,NST9000006571,2024-10-19,2024-10-20,2024-10-25,DELIVERED,0.0,2024-10-19T00:00:00,2026-08-15T12:00:00
30000003,9000007,National Ground,NST9000007582,2025-11-09,2025-11-11,2025-11-15,DELIVERED,0.0,2025-11-09T00:00:00,2026-08-15T12:00:00
30000004,9000011,ParcelOne,NST9000011599,2026-02-27,2026-02-28,2026-03-02,DELIVERED,0.0,2026-02-27T00:00:00,2026-08-15T12:00:00
30000005,9000013,ParcelOne,NST9000013389,2025-07-13,2025-07-16,2025-07-14,DELIVERED,7.99,2025-07-13T00:00:00,2026-08-15T12:00:00
30000006,9000014,ParcelOne,NST9000014801,2025-03-14,2025-03-16,2025-03-17,DELIVERED,0.0,2025-03-14T00:00:00,2026-08-15T12:00:00
30000007,9000016,National Ground,NST9000016226,2026-06-07,2026-06-10,2026-06-09,DELIVERED,0.0,2026-06-07T00:00:00,2026-08-15T12:00:00
30000008,9000019,National Ground,NST9000019511,2026-05-02,2026-05-07,2026-05-06,DELIVERED,4.99,2026-05-02T00:00:00,2026-08-15T12:00:00
30000009,9000021,ParcelOne,NST9000021341,2025-09-13,2025-09-16,2025-09-14,DELIVERED,0.0,2025-09-13T00:00:00,2026-08-15T12:00:00
30000010,9000024,SwiftShip,NST9000024957,2025-04-11,2025-04-14,2025-04-13,DELIVERED,0.0,2025-04-11T00:00:00,2026-08-15T12:00:00
30000011,9000025,ParcelOne,NST9000025120,2024-02-04,2024-02-08,2024-02-05,DELIVERED,7.99,2024-02-04T00:00:00,2026-08-15T12:00:00
30000012,9000026,ParcelOne,NST9000026639,2025-07-23,2025-07-24,2025-07-27,DELIVERED,7.99,2025-07-23T00:00:00,2026-08-15T12:00:00
30000013,9000028,National Ground,NST9000028149,2026-07-16,2026-07-18,2026-07-19,DELIVERED,0.0,2026-07-16T00:00:00,2026-08-15T12:00:00
30000014,9000030,SwiftShip,NST9000030748,2025-08-04,2025-08-06,2025-08-07,DELIVERED,0.0,2025-08-04T00:00:00,2026-08-15T12:00:00
30000015,9000032,SwiftShip,NST9000032396,2026-07-24,2026-07-27,2026-07-28,DELIVERED,0.0,2026-07-24T00:00:00,2026-08-15T12:00:00
30000016,9000034,SwiftShip,NST9000034393,2024-09-21,2024-09-23,2024-09-25,DELIVERED,0.0,2024-09-21T00:00:00,2026-08-15T12:00:00
30000017,9000035,ParcelOne,NST9000035439,2025-09-06,2025-09-10,2025-09-08,DELIVERED,9.99,2025-09-06T00:00:00,2026-08-15T12:00:00
30000018,9000040,National Ground,NST9000040431,2025-11-16,2025-11-19,2025-11-19,DELIVERED,0.0,2025-11-16T00:00:00,2026-08-15T12:00:00
30000019,9000041,National Ground,NST9000041847,2026-06-08,2026-06-08,2026-06-14,DELIVERED,0.0,2026-06-08T00:00:00,2026-08-15T12:00:00
30000020,9000043,SwiftShip,NST9000043653,2025-10-15,2025-10-17,2025-10-16,DELIVERED,0.0,2025-10-15T00:00:00,2026-08-15T12:00:00
30000021,9000045,ParcelOne,NST9000045965,2025-11-08,2025-11-10,2025-11-14,DELIVERED,0.0,2025-11-08T00:00:00,2026-08-15T12:00:00
30000022,9000047,National Ground,NST9000047295,2026-04-15,2026-04-17,2026-04-21,DELIVERED,0.0,2026-04-15T00:00:00,2026-08-15T12:00:00
30000023,9000050,National Ground,NST9000050895,2026-01-25,2026-01-28,2026-01-31,DELIVERED,4.99,2026-01-25T00:00:00,2026-08-15T12:00:00
30000024,9000051,National Ground,NST9000051874,2025-10-15,2025-10-18,2025-10-19,DELIVERED,0.0,2025-10-15T00:00:00,2026-08-15T12:00:00
30000025,9000052,ParcelOne,NST9000052879,2025-09-20,2025-09-24,2025-09-21,DELIVERED,9.99,2025-09-20T00:00:00,2026-08-15T12:00:00
30000026,9000055,National Ground,NST9000055430,2025-03-16,2025-03-17,2025-03-20,DELIVERED,7.99,2025-03-16T00:00:00,2026-08-15T12:00:00
30000027,9000057,SwiftShip,NST9000057136,2024-10-18,2024-10-21,2024-10-24,DELIVERED,4.99,2024-10-18T00:00:00,2026-08-15T12:00:00
30000028,9000058,ParcelOne,NST9000058126,2025-09-29,2025-10-01,2025-10-05,DELIVERED,0.0,2025-09-29T00:00:00,2026-08-15T12:00:00
30000029,9000060,National Ground,NST9000060197,2024-07-23,2024-07-25,2024-07-27,DELIVERED,0.0,2024-07-23T00:00:00,2026-08-15T12:00:00
30000030,9000061,ParcelOne,NST9000061458,2026-03-06,2026-03-07,2026-03-12,DELIVERED,0.0,2026-03-06T00:00:00,2026-08-15T12:00:00
30000031,9000063,National Ground,NST9000063118,2025-04-06,2025-04-08,2025-04-07,DELIVERED,7.99,2025-04-06T00:00:00,2026-08-15T12:00:00
30000032,9000065,National Ground,NST9000065865,2025-04-17,2025-04-20,2025-04-20,DELIVERED,9.99,2025-04-17T00:00:00,2026-08-15T12:00:00
30000033,9000066,ParcelOne,NST9000066238,2025-08-15,2025-08-19,2025-08-16,DELIVERED,0.0,2025-08-15T00:00:00,2026-08-15T12:00:00
30000034,9000069,National Ground,NST9000069358,2025-05-30,2025-06-01,2025-06-01,DELIVERED,9.99,2025-05-30T00:00:00,2026-08-15T12:00:00
30000035,9000070,National Ground,NST9000070486,2026-01-19,2026-01-23,2026-01-21,DELIVERED,0.0,2026-01-19T00:00:00,2026-08-15T12:00:00
30000036,9000071,SwiftShip,NST9000071529,2025-04-21,2025-04-24,2025-04-25,DELIVERED,0.0,2025-04-21T00:00:00,2026-08-15T12:00:00
30000037,9000073,National Ground,NST9000073891,2026-02-10,2026-02-12,2026-02-11,DELIVERED,0.0,2026-02-10T00:00:00,2026-08-15T12:00:00
30000038,9000074,SwiftShip,NST9000074937,2025-09-09,2025-09-12,2025-09-11,DELIVERED,0.0,2025-09-09T00:00:00,2026-08-15T12:00:00
