layer,table_name,table_purpose,grain,ordinal_position,column_name,data_type,nullable_in_sample,key_role,business_definition
SQL Server source,addresses,Operational addresses data.,One customer address,1,address_id,integer,False,Source identifier/foreign key,Address identifier.
SQL Server source,addresses,Operational addresses data.,One customer address,2,customer_id,integer,False,Source identifier/foreign key,Customer identifier.
SQL Server source,addresses,Operational addresses data.,One customer address,3,address_type,text or source-specific scalar,False,,Address type.
SQL Server source,addresses,Operational addresses data.,One customer address,4,line1,text or source-specific scalar,False,,Line1.
SQL Server source,addresses,Operational addresses data.,One customer address,5,line2,decimal/number,True,,Line2.
SQL Server source,addresses,Operational addresses data.,One customer address,6,city,text or source-specific scalar,False,,City.
SQL Server source,addresses,Operational addresses data.,One customer address,7,state_code,text or source-specific scalar,False,,State code.
SQL Server source,addresses,Operational addresses data.,One customer address,8,postal_code,integer,False,,Postal code.
SQL Server source,addresses,Operational addresses data.,One customer address,9,country_code,text or source-specific scalar,False,,Country code.
SQL Server source,addresses,Operational addresses data.,One customer address,10,is_default,integer,False,,Is default.
SQL Server source,addresses,Operational addresses data.,One customer address,11,created_at,text or source-specific scalar,False,,Created at.
SQL Server source,addresses,Operational addresses data.,One customer address,12,updated_at,text or source-specific scalar,False,,Updated at.
SQL Server source,customers,Operational customers data.,One customer source record,1,customer_id,integer,False,Source identifier/foreign key,Customer identifier.
SQL Server source,customers,Operational customers data.,One customer source record,2,customer_number,text or source-specific scalar,False,,Customer number.
SQL Server source,customers,Operational customers data.,One customer source record,3,first_name,text or source-specific scalar,False,,First name.
SQL Server source,customers,Operational customers data.,One customer source record,4,last_name,text or source-specific scalar,False,,Last name.
SQL Server source,customers,Operational customers data.,One customer source record,5,email,text or source-specific scalar,True,,Email.
SQL Server source,customers,Operational customers data.,One customer source record,6,phone,text or source-specific scalar,False,,Phone.
SQL Server source,customers,Operational customers data.,One customer source record,7,signup_date,text or source-specific scalar,False,,Signup date.
SQL Server source,customers,Operational customers data.,One customer source record,8,loyalty_tier,text or source-specific scalar,False,,Loyalty tier.
SQL Server source,customers,Operational customers data.,One customer source record,9,marketing_opt_in,integer,False,,Marketing opt in.
SQL Server source,customers,Operational customers data.,One customer source record,10,created_at,text or source-specific scalar,False,,Created at.
SQL Server source,customers,Operational customers data.,One customer source record,11,updated_at,text or source-specific scalar,False,,Updated at.
SQL Server source,employees,Operational employees data.,One employee,1,employee_id,integer,False,Source identifier/foreign key,Employee identifier.
SQL Server source,employees,Operational employees data.,One employee,2,employee_number,text or source-specific scalar,False,,Employee number.
SQL Server source,employees,Operational employees data.,One employee,3,store_id,integer,False,Source identifier/foreign key,Store identifier.
SQL Server source,employees,Operational employees data.,One employee,4,manager_employee_id,decimal/number,True,Source identifier/foreign key,Manager employee identifier.
SQL Server source,employees,Operational employees data.,One employee,5,first_name,text or source-specific scalar,False,,First name.
SQL Server source,employees,Operational employees data.,One employee,6,last_name,text or source-specific scalar,False,,Last name.
SQL Server source,employees,Operational employees data.,One employee,7,job_title,text or source-specific scalar,False,,Job title.
SQL Server source,employees,Operational employees data.,One employee,8,hire_date,text or source-specific scalar,False,,Hire date.
SQL Server source,employees,Operational employees data.,One employee,9,active_flag,integer,False,,Active flag.
SQL Server source,employees,Operational employees data.,One employee,10,created_at,text or source-specific scalar,False,,Created at.
SQL Server source,employees,Operational employees data.,One employee,11,updated_at,text or source-specific scalar,False,,Updated at.
SQL Server source,inventory_snapshots,Operational inventory snapshots data.,One date-store-product inventory snapshot,1,inventory_snapshot_id,integer,False,Source identifier/foreign key,Inventory snapshot identifier.
SQL Server source,inventory_snapshots,Operational inventory snapshots data.,One date-store-product inventory snapshot,2,snapshot_date,text or source-specific scalar,False,,Snapshot date.
SQL Server source,inventory_snapshots,Operational inventory snapshots data.,One date-store-product inventory snapshot,3,store_id,integer,False,Source identifier/foreign key,Store identifier.
SQL Server source,inventory_snapshots,Operational inventory snapshots data.,One date-store-product inventory snapshot,4,product_id,integer,False,Source identifier/foreign key,Product identifier.
SQL Server source,inventory_snapshots,Operational inventory snapshots data.,One date-store-product inventory snapshot,5,quantity_on_hand,integer,False,,Quantity on hand.
